,Group_1,Group_2,Group_3,Group_4,Soma
1929,0.005954028644040406,0.0018522706375757579,0.2189975292929292,0.7149819479797979,0.9417857765543433
1926,0.022043645103232326,0.005863818337272728,0.0024800793629292934,0.8040761077777775,0.8344636505812119
1950,0.6539773453535354,0.001103881687070707,0.01934727643939393,0.14622713174747473,0.8206556352274748
1957,0.0006766589914141414,0.11856601190606056,0.6398674057575757,0.0021733534533939385,0.7612834301084445
2248,0.6491217903030304,0.05211251128585859,0.00708665228333333,0.0010055231739393938,0.7093264770461618
2466,0.0019175857892929293,0.5486838932323232,0.05191963444343435,0.10386640732323234,0.7063875207882829
1615,0.0011554354309696964,0.0062364442997979806,0.027554916035353528,0.6595173951515151,0.6944641909176363
2393,0.002615937970202021,0.0012220004662626266,0.42250246282828285,0.25294141959595956,0.679281820860707
2428,0.15307643813131308,0.0014314542768686868,0.1070519145959596,0.37457098989898985,0.6361307969031312
2435,0.02018480714333333,0.5284953887878788,0.0022538216054848485,0.06709845906060603,0.6180324765973031
2443,0.0006854290422828284,0.567545565757576,0.012350881841656568,0.0006425714191515151,0.5812244480606669
2396,0.27184538020202004,0.10291321293939389,0.19317683338383843,0.00039908048009090904,0.5683345070053433
479,0.023243222717171722,0.5197944845454544,0.0053148840551515125,0.0006257075352020203,0.5489782988529796
2226,0.5456356652525252,0.0001817624697979798,5.5807455626262626e-05,7.687818586868687e-05,0.545950113363818
1162,0.00039597056131313133,0.21499256197979782,0.21900593727272732,0.1076550316161616,0.5420495014299999
1233,0.5246306496969694,0.0018094464213737375,0.003578242944040403,0.002368244553383839,0.5323865836157673
199,0.0015950204656464647,0.49311281969696963,0.0024485632717070713,0.00113374903379798,0.49829015246812114
1333,0.42092923101010105,0.00010953526777777778,0.0014701640912525254,0.0739357265959596,0.49644465696509094
2054,0.4368190953535356,0.05900468259393941,3.943595283838383e-05,6.269569317171716e-05,0.49592590959348515
2543,0.0026179243543232316,0.209497253878788,0.2420925,0.029076601282828293,0.48328427951593955
1129,0.0018005071521010106,0.3064564924242423,0.004754035678616162,0.1439400802626262,0.4569511155175856
1184,0.4388615625252524,0.001215121767777778,0.0012915705895959594,0.006995097849535351,0.44836335273216144
